brand,name,material,is_locking,description
Graph Tech,Graph Tech Black TUSQ 6,Black TUSQ XL,false,Graph Tech Black TUSQ XL self-lubricating nut 6-string (43 mm); used on Regius Core 6 / Duvell Elite 6 / Aquila
Graph Tech,Graph Tech Black TUSQ 7,Black TUSQ XL,false,Graph Tech Black TUSQ XL self-lubricating nut 7-string (48.5 mm); used on Regius 7 / Duvell BL 7 / Hydra Elite 7
Graph Tech,Graph Tech Black TUSQ 8,Black TUSQ XL,false,Graph Tech Black TUSQ XL self-lubricating nut 8-string; used on Regius 8 / Regius Core Classic 8
